epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12935.2,1.28972,0.71573,0.92198,0.59341,0.47863,0.51102,0.29773,1.26363,0.67982,0.91931,0.000532333,0.000532333,0.000532333
43,13242.9,1.29394,0.7155,0.92222,0.6146,0.47453,0.51255,0.29807,1.26277,0.67894,0.91882,0.000514693,0.000514693,0.000514693
44,13550.8,1.29004,0.71318,0.92093,0.61999,0.46896,0.51063,0.29808,1.26279,0.67919,0.91874,0.000497108,0.000497108,0.000497108
45,13859.3,1.27918,0.70593,0.91853,0.64104,0.45841,0.51224,0.29897,1.26351,0.67928,0.91917,0.000479604,0.000479604,0.000479604
46,14167.4,1.28082,0.70512,0.91925,0.62449,0.468,0.51228,0.29951,1.26356,0.67841,0.91928,0.000462209,0.000462209,0.000462209
47,14475.5,1.2784,0.70428,0.91832,0.64357,0.46989,0.51329,0.29989,1.26394,0.67759,0.91964,0.00044495,0.00044495,0.00044495
48,14783.4,1.2814,0.70094,0.91701,0.63195,0.46975,0.5141,0.3007,1.26411,0.67765,0.91998,0.000427852,0.000427852,0.000427852
49,15090.6,1.27014,0.6924,0.91418,0.62554,0.4715,0.51423,0.30137,1.26386,0.67731,0.91982,0.000410942,0.000410942,0.000410942
50,15398.6,1.27187,0.69268,0.91427,0.6347,0.47404,0.51479,0.30205,1.2641,0.6774,0.91953,0.000394247,0.000394247,0.000394247
51,15706.7,1.27074,0.69445,0.91528,0.62912,0.47243,0.51396,0.30177,1.26342,0.67688,0.91926,0.000377792,0.000377792,0.000377792
52,16014.6,1.26456,0.68865,0.91436,0.62919,0.47385,0.51564,0.30201,1.26325,0.677,0.91923,0.000361603,0.000361603,0.000361603
53,16322.3,1.2667,0.68909,0.91466,0.62359,0.47533,0.51531,0.30158,1.26303,0.67677,0.91927,0.000345704,0.000345704,0.000345704
54,16630.6,1.26342,0.68391,0.91237,0.62082,0.47649,0.51532,0.30172,1.26324,0.67631,0.91955,0.00033012,0.00033012,0.00033012
55,16938.4,1.25569,0.67907,0.91113,0.61146,0.47627,0.51615,0.30283,1.26283,0.67662,0.91928,0.000314876,0.000314876,0.000314876
